Individual_ID,Plant_Nickname,,provenance,source,accession,provenance.lat,provenance.long
166764,"567-2008*B, Tree 6",,origin known,DACK-08 Adirondak Expedition 2008,2008,43.765837,-73.756662
166765,"15350*A, Tree 7",,insufficient,"Kelsey Highlands Nursery, East Boxford, MA, USA",1924,42.683669,-70.98483
166767,"524-2009*A, Tree 9",,insufficient,Arnold Arboretum,2009,42.307153,-71.120872
166766,"525-2009*A, Tree 8",,insufficient,Arnold Arboretum,2009,42.307153,-71.120872
166780,"14693*B, Tree 14",,origin known,Arnold Arboretum,1883,42.307153,-71.120872
166779,"14693*A, Tree 13",,origin known,Arnold Arboretum,1883,42.307153,-71.120872
166776,"22947*B, Tree 10",,insufficient,unknown,1951,,
166777,"22947*C, Tree 11",,insufficient,unknown,1951,,
166778,"493-2009*A, Tree 12",,insufficient,Arnold Arboretum,2009,42.307153,-71.120872
166768,"386-71*B, Tree 1",,origin known,"Montreal Botanical Garden, Montreal, Quebec, Canada",1971,45.560024,-73.563159
166769,"285-2007*E, Tree 2",,origin known,"New England Wetland Plants, Inc., Amherst, MA",2007,42.32844,-72.522852
166775,"657-2008*A, Tree 5",,insufficient,Arnold Arboretum,2008,42.307153,-71.120872
166773,"529-2009*A, Tree 3",,insufficient,unknown,2009,,
166774,"530-2009*A, Tree 4",,insufficient,unknown,2009,,
169166,"593-2008*B, Tree 7",,origin known,DACK-08 Adirondak Expedition 2008,2008,43.765837,-73.756662
169165,"593-2008*A, Tree 6",,origin known,DACK-08 Adirondak Expedition 2008,2008,43.765837,-73.756662
169167,"593-2008*C, Tree 8",,origin known,DACK-08 Adirondak Expedition 2008,2008,43.765837,-73.756662
169168,"593-2008*D, Tree 9",,origin known,DACK-08 Adirondak Expedition 2008,2008,43.765837,-73.756662
